Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Hyundai,2024,2024-09-21,QC-2024-1215,Rough idling,,Track burnt due to EOS,Production Failure,NA
Ashok Leyland,2019,2019-03-17,QC-2019-1318,Vehicle not starting,"C0045, P0455, P6344",Track burnt due to EOS,Customer Failure,Delphi
Toyota,2020,2020-12-11,QC-2020-1521,Vehicle not starting,P5657,Sensor short due to moisture,Production Failure,STM
TATA,2019,2019-01-24,QC-2019-2044,Brake warning light ON,NA,Connector damage,Customer Failure,Delphi
Hyundai,2024,2024-02-15,QC-2024-2869,Low pickup,"U0100, P1245, C0045",Track burnt due to EOS,According to Specification,Bosch
TATA,2021,2021-01-05,QC-2021-9051,Starting Problem,P0455,controller failure due to supplier production failure,According to Specification,Hanon
TATA,2023,2023-06-07,QC-2023-8295,OBD Light ON,NA,NTF,According to Specification,Delphi
M&M,2024,2024-11-13,QC-2024-2533,Brake warning light ON,P0455,Sensor short due to moisture,Production Failure,Delphi
Toyota,2020,2020-12-16,QC-2020-4864,Low pickup,"P0455, C0045, P5657",Connector damage,According to Specification,Bosch
M&M,2021,2021-05-10,QC-2021-7862,Brake warning light ON,P0301,NTF,According to Specification,Hanon
Ashok Leyland,2020,2020-04-30,QC-2020-4324,Brake warning light ON,"B1234, C0045, P6344",Track burnt due to EOS,Production Failure,NA
Toyota,2022,2022-08-05,QC-2022-1678,Brake warning light ON,"P1245, B1234",Track burnt due to EOS,According to Specification,Bosch
Ashok Leyland,2020,2020-04-08,QC-2020-6112,Engine jerking during acceleration,NA,ASIC CJ327 failure due to EOS,Production Failure,NA
Ashok Leyland,2024,2024-02-22,QC-2024-8634,Vehicle not starting,P1245,Connector damage,Customer Failure,Valeo
M&M,2019,2019-04-22,QC-2019-2841,Rough idling,P5657,Connector damage,Customer Failure,Valeo
TATA,2021,2021-01-24,QC-2021-8858,Starting Problem,"P6768, P0455, P0987",controller failure due to supplier production failure,Customer Failure,Hanon
Kia,2022,2022-02-18,QC-2022-9880,Brake warning light ON,P0301,Track burnt due to EOS,According to Specification,Hanon
Hyundai,2020,2020-07-28,QC-2020-4035,Low pickup,"P1245, P0455, P6768",Connector damage,Customer Failure,Valeo
Toyota,2020,2020-11-26,QC-2020-6145,Starting Problem,,NTF,Production Failure,STM
TATA,2019,2019-12-21,QC-2019-8198,Rough idling,,Track burnt due to EOS,Production Failure,Bosch
Kia,2020,2020-04-30,QC-2020-3201,Rough idling,"P6768, B1234",Track burnt due to EOS,According to Specification,Bosch
TATA,2023,2023-09-04,QC-2023-4548,Low pickup,"P0455, U0100",Connector damage,Production Failure,Bosch
Honda,2024,2024-02-28,QC-2024-5031,High fuel consumption,P5657,controller failure due to supplier production failure,According to Specification,Valeo
Honda,2021,2021-04-21,QC-2021-9699,High fuel consumption,P1245,Track burnt due to EOS,Production Failure,STM
Ashok Leyland,2019,2019-10-20,QC-2019-4315,Low pickup,"P1245, B1234",Sensor short due to moisture,According to Specification,Bosch
Ashok Leyland,2019,2019-08-30,QC-2019-1533,Rough idling,"C0045, P5657",Connector damage,Customer Failure,NA
Hyundai,2022,2022-05-13,QC-2022-8860,OBD Light ON,P5657,Track burnt due to EOS,Production Failure,NA
TATA,2020,2020-12-12,QC-2020-1680,Engine jerking during acceleration,"P0987, P0455, P6768",Track burnt due to EOS,Production Failure,Hanon
Kia,2020,2020-10-09,QC-2020-5202,Vehicle not starting,,Track burnt due to EOS,According to Specification,NA
TATA,2021,2021-04-05,QC-2021-5814,OBD Light ON,"C0045, P1245, P5657",controller failure due to supplier production failure,Customer Failure,Bosch
Kia,2022,2022-09-10,QC-2022-2351,Vehicle not starting,"B1234, P6344, C0045",Connector damage,Customer Failure,NA
Honda,2024,2024-12-07,QC-2024-2099,OBD Light ON,"P6768, P0455, P0301",Track burnt due to EOS,Customer Failure,Delphi
Toyota,2024,2024-04-12,QC-2024-6860,Engine overheating,"P6344, U0100, P6768",ASIC CJ327 failure due to EOS,Production Failure,NA
Toyota,2020,2020-01-13,QC-2020-5344,Brake warning light ON,"P1245, B1234, C0045",Track burnt due to EOS,According to Specification,Delphi
Hyundai,2024,2024-08-10,QC-2024-6227,Rough idling,P5657,Connector damage,According to Specification,NA
Honda,2019,2019-02-19,QC-2019-2427,Rough idling,,controller failure due to supplier production failure,Customer Failure,STM
Ashok Leyland,2019,2019-11-06,QC-2019-2836,Engine jerking during acceleration,NA,NTF,Customer Failure,Delphi
Honda,2021,2021-02-03,QC-2021-2534,Low pickup,,controller failure due to supplier production failure,Customer Failure,NA
Kia,2020,2020-01-17,QC-2020-7311,Brake warning light ON,"P0987, P6768, U0100",NTF,Production Failure,Hanon
Kia,2024,2024-10-27,QC-2024-3321,Brake warning light ON,,NTF,Production Failure,STM
Toyota,2020,2020-04-08,QC-2020-9112,Vehicle not starting,NA,NTF,According to Specification,Bosch
M&M,2021,2021-02-04,QC-2021-2759,OBD Light ON,P5657,Connector damage,Production Failure,NA
Ashok Leyland,2020,2020-10-14,QC-2020-2178,Low pickup,"P5657, P0455, C0045",controller failure due to supplier production failure,According to Specification,NA
Kia,2021,2021-07-09,QC-2021-2222,Vehicle not starting,"P5657, B1234",controller failure due to supplier production failure,According to Specification,Delphi
TATA,2023,2023-04-08,QC-2023-8724,Low pickup,,Connector damage,According to Specification,Bosch
Toyota,2024,2024-06-25,QC-2024-6608,Low pickup,"P5657, P0301, C0045",NTF,Production Failure,Hanon
Toyota,2019,2019-04-02,QC-2019-6029,Starting Problem,"C0045, P0987",Connector damage,Production Failure,Bosch
Honda,2024,2024-08-08,QC-2024-7770,Engine jerking during acceleration,NA,Track burnt due to EOS,According to Specification,STM
Hyundai,2024,2024-10-21,QC-2024-6028,Brake warning light ON,"P0455, P5657, C0045",controller failure due to supplier production failure,Production Failure,Valeo
Hyundai,2019,2019-09-07,QC-2019-2668,High fuel consumption,"P0455, U0100",NTF,Customer Failure,Valeo
TATA,2019,2019-08-10,QC-2019-4879,Low pickup,P0301,Connector damage,According to Specification,NA
M&M,2021,2021-01-08,QC-2021-7439,OBD Light ON,"P0455, P6768",ASIC CJ327 failure due to EOS,Customer Failure,NA
M&M,2024,2024-11-10,QC-2024-4236,Engine jerking during acceleration,"P0301, P6344",ASIC CJ327 failure due to EOS,According to Specification,NA
Honda,2021,2021-07-27,QC-2021-9837,Rough idling,U0100,ASIC CJ327 failure due to EOS,Production Failure,NA
Kia,2023,2023-10-13,QC-2023-9108,Rough idling,NA,NTF,Production Failure,Hanon
Hyundai,2022,2022-12-18,QC-2022-9767,High fuel consumption,,Track burnt due to EOS,According to Specification,Bosch
Kia,2021,2021-03-26,QC-2021-2008,High fuel consumption,,NTF,According to Specification,Delphi
Toyota,2021,2021-10-21,QC-2021-6665,Brake warning light ON,P0301,ASIC CJ327 failure due to EOS,Production Failure,Hanon
Honda,2019,2019-01-02,QC-2019-4947,Engine overheating,"P5657, P6768",NTF,Production Failure,NA
Kia,2021,2021-09-27,QC-2021-5638,Engine overheating,"U0100, B1234",controller failure due to supplier production failure,Production Failure,Bosch
Ashok Leyland,2020,2020-12-22,QC-2020-3882,Low pickup,"P5657, P0987, P6768",Connector damage,According to Specification,NA
Honda,2019,2019-03-05,QC-2019-9543,Brake warning light ON,"P0301, P0987, B1234",Track burnt due to EOS,According to Specification,Bosch
Ashok Leyland,2024,2024-05-16,QC-2024-4541,Low pickup,,ASIC CJ327 failure due to EOS,Production Failure,NA
TATA,2019,2019-03-11,QC-2019-3470,OBD Light ON,C0045,Connector damage,Production Failure,Hanon
Ashok Leyland,2023,2023-08-15,QC-2023-5910,Starting Problem,P5657,controller failure due to supplier production failure,According to Specification,Hanon
Honda,2023,2023-01-06,QC-2023-4053,Engine overheating,,NTF,According to Specification,Valeo
M&M,2020,2020-06-12,QC-2020-2165,OBD Light ON,NA,NTF,According to Specification,Valeo
Honda,2024,2024-10-24,QC-2024-6402,Vehicle not starting,"P5657, P6344, P0455",Sensor short due to moisture,Customer Failure,STM
TATA,2021,2021-10-03,QC-2021-8483,Vehicle not starting,"B1234, P0455, P0301",Track burnt due to EOS,Customer Failure,NA
Hyundai,2020,2020-06-18,QC-2020-4747,Low pickup,"P6768, P5657",NTF,According to Specification,Valeo
TATA,2023,2023-04-16,QC-2023-3799,Engine overheating,"B1234, P5657, P0455",ASIC CJ327 failure due to EOS,Production Failure,Bosch
TATA,2020,2020-06-13,QC-2020-7901,OBD Light ON,NA,Sensor short due to moisture,Production Failure,Bosch
Honda,2019,2019-03-06,QC-2019-8895,OBD Light ON,"B1234, P6344",Track burnt due to EOS,Customer Failure,STM
Ashok Leyland,2021,2021-05-17,QC-2021-1858,Engine jerking during acceleration,,controller failure due to supplier production failure,Production Failure,Hanon
TATA,2023,2023-10-13,QC-2023-9881,Engine overheating,"B1234, U0100, P6768",NTF,According to Specification,Hanon
Hyundai,2021,2021-10-15,QC-2021-3058,Engine jerking during acceleration,"P1245, P0301",Sensor short due to moisture,Customer Failure,NA
Honda,2019,2019-08-04,QC-2019-5515,OBD Light ON,"U0100, P6344",Sensor short due to moisture,Production Failure,Hanon
Toyota,2024,2024-03-19,QC-2024-1625,Engine jerking during acceleration,P0455,controller failure due to supplier production failure,According to Specification,Bosch
Toyota,2020,2020-10-13,QC-2020-5463,Starting Problem,"P0987, U0100, P5657",ASIC CJ327 failure due to EOS,Production Failure,Delphi
Kia,2020,2020-08-02,QC-2020-7765,Brake warning light ON,P0987,Connector damage,Customer Failure,Delphi
Ashok Leyland,2019,2019-08-12,QC-2019-9937,Low pickup,"P0987, P5657, P1245",Connector damage,According to Specification,Hanon
Ashok Leyland,2024,2024-08-07,QC-2024-4120,OBD Light ON,"P1245, B1234, P0455",Track burnt due to EOS,Customer Failure,STM
Ashok Leyland,2023,2023-10-30,QC-2023-9082,OBD Light ON,,NTF,Customer Failure,Hanon
Toyota,2019,2019-11-05,QC-2019-8375,Engine overheating,NA,controller failure due to supplier production failure,Production Failure,STM
Kia,2024,2024-05-06,QC-2024-5767,Vehicle not starting,"P1245, B1234, C0045",Track burnt due to EOS,Customer Failure,Bosch
Hyundai,2019,2019-11-04,QC-2019-1797,Rough idling,"P6768, P1245, U0100",Sensor short due to moisture,Production Failure,Hanon
TATA,2020,2020-08-17,QC-2020-8561,Starting Problem,"B1234, U0100",Sensor short due to moisture,Production Failure,STM
TATA,2019,2019-09-27,QC-2019-2098,Engine overheating,"P6768, P0987",NTF,Production Failure,NA
Kia,2022,2022-01-24,QC-2022-3825,Brake warning light ON,"P0301, B1234, P0455",NTF,Customer Failure,STM
Honda,2024,2024-03-08,QC-2024-9377,Low pickup,NA,controller failure due to supplier production failure,According to Specification,STM
Honda,2021,2021-01-09,QC-2021-4305,Rough idling,,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Kia,2022,2022-06-20,QC-2022-9591,Starting Problem,NA,NTF,Production Failure,Bosch
Toyota,2020,2020-10-26,QC-2020-3485,Low pickup,"P0455, P5657",Sensor short due to moisture,According to Specification,Bosch
Ashok Leyland,2021,2021-02-10,QC-2021-1157,Low pickup,,NTF,According to Specification,STM
Hyundai,2020,2020-04-22,QC-2020-3472,High fuel consumption,,Sensor short due to moisture,Production Failure,Bosch
Honda,2024,2024-11-08,QC-2024-2117,Vehicle not starting,"P0987, P0455, P0301",Connector damage,According to Specification,Valeo
M&M,2022,2022-09-05,QC-2022-3306,Rough idling,NA,Sensor short due to moisture,Production Failure,Delphi
Honda,2019,2019-08-20,QC-2019-5647,Vehicle not starting,NA,Track burnt due to EOS,Production Failure,Valeo
Toyota,2024,2024-07-28,QC-2024-6159,Engine overheating,,Sensor short due to moisture,According to Specification,Bosch
TATA,2021,2021-03-30,QC-2021-9584,Low pickup,,controller failure due to supplier production failure,Customer Failure,NA
TATA,2019,2019-01-22,QC-2019-6395,Low pickup,,Connector damage,Customer Failure,Valeo
Ashok Leyland,2024,2024-03-12,QC-2024-6429,Starting Problem,NA,Connector damage,Production Failure,NA
Toyota,2019,2019-09-22,QC-2019-6250,Starting Problem,P5657,controller failure due to supplier production failure,Production Failure,Bosch
Toyota,2021,2021-02-01,QC-2021-2481,Brake warning light ON,,Connector damage,According to Specification,STM
Toyota,2019,2019-02-01,QC-2019-8901,Engine overheating,NA,Connector damage,Production Failure,NA
Kia,2023,2023-09-28,QC-2023-4214,Low pickup,"P6344, P0455",Track burnt due to EOS,Customer Failure,Hanon
TATA,2020,2020-07-15,QC-2020-8810,Low pickup,P0455,controller failure due to supplier production failure,Production Failure,Bosch
Kia,2023,2023-05-28,QC-2023-6859,Low pickup,"P1245, P0987, P0301",Track burnt due to EOS,Production Failure,Bosch
Toyota,2024,2024-06-30,QC-2024-7082,Starting Problem,"U0100, P6344",NTF,According to Specification,Delphi
Honda,2021,2021-08-05,QC-2021-6178,Engine jerking during acceleration,NA,controller failure due to supplier production failure,Customer Failure,Valeo
Honda,2020,2020-01-07,QC-2020-3189,Brake warning light ON,,NTF,Production Failure,Bosch
M&M,2020,2020-10-16,QC-2020-8766,Rough idling,"P0987, P0455",Sensor short due to moisture,According to Specification,NA
Ashok Leyland,2023,2023-10-12,QC-2023-1963,Brake warning light ON,"C0045, P0987, P6768",Track burnt due to EOS,Customer Failure,Hanon
Hyundai,2022,2022-03-18,QC-2022-3726,Engine jerking during acceleration,,controller failure due to supplier production failure,According to Specification,Bosch
Ashok Leyland,2020,2020-09-24,QC-2020-2975,Brake warning light ON,NA,controller failure due to supplier production failure,Customer Failure,Hanon
Honda,2024,2024-07-02,QC-2024-7306,Vehicle not starting,,controller failure due to supplier production failure,Production Failure,Bosch
Toyota,2024,2024-07-24,QC-2024-9137,High fuel consumption,C0045,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Honda,2024,2024-05-15,QC-2024-4611,OBD Light ON,C0045,ASIC CJ327 failure due to EOS,Customer Failure,NA
Honda,2023,2023-03-13,QC-2023-2029,Engine jerking during acceleration,P6344,controller failure due to supplier production failure,Production Failure,NA
Ashok Leyland,2019,2019-05-10,QC-2019-2495,OBD Light ON,"P0301, C0045, P1245",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Hyundai,2019,2019-04-09,QC-2019-1780,Low pickup,U0100,NTF,Customer Failure,STM
Hyundai,2019,2019-04-09,QC-2019-6549,High fuel consumption,"B1234, P5657, P1245",controller failure due to supplier production failure,Customer Failure,Delphi
Honda,2019,2019-08-07,QC-2019-9787,Starting Problem,"P1245, U0100",Track burnt due to EOS,Customer Failure,Valeo
Toyota,2021,2021-02-09,QC-2021-8664,Vehicle not starting,NA,Sensor short due to moisture,Production Failure,NA
Kia,2020,2020-11-22,QC-2020-8596,Engine overheating,"P5657, P1245, C0045",NTF,Customer Failure,Hanon
Ashok Leyland,2020,2020-06-18,QC-2020-7866,High fuel consumption,"P6344, C0045",Sensor short due to moisture,Production Failure,Valeo
M&M,2020,2020-01-06,QC-2020-3646,Rough idling,"C0045, P0301",ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Toyota,2019,2019-08-24,QC-2019-7244,Rough idling,"P0987, P5657",Track burnt due to EOS,Customer Failure,Delphi
M&M,2019,2019-01-30,QC-2019-2929,Engine jerking during acceleration,NA,Connector damage,Customer Failure,Valeo
TATA,2022,2022-01-11,QC-2022-4398,Rough idling,"B1234, P0987",Connector damage,Customer Failure,Valeo
Hyundai,2021,2021-03-02,QC-2021-3888,Engine overheating,,ASIC CJ327 failure due to EOS,According to Specification,STM
TATA,2022,2022-04-29,QC-2022-4799,High fuel consumption,"U0100, P0455",ASIC CJ327 failure due to EOS,Production Failure,Hanon
TATA,2021,2021-12-11,QC-2021-7967,Low pickup,NA,Sensor short due to moisture,Customer Failure,STM
Ashok Leyland,2019,2019-05-20,QC-2019-7998,Low pickup,"P0301, P6768, P6344",Connector damage,Customer Failure,Bosch
Kia,2023,2023-10-02,QC-2023-1953,Rough idling,P6344,ASIC CJ327 failure due to EOS,According to Specification,Valeo
TATA,2021,2021-05-28,QC-2021-1857,High fuel consumption,"P1245, P6768",NTF,Production Failure,Valeo
TATA,2020,2020-04-17,QC-2020-2316,High fuel consumption,P0455,Connector damage,Production Failure,Valeo
Hyundai,2021,2021-05-01,QC-2021-7980,High fuel consumption,"P0987, P0301",Track burnt due to EOS,According to Specification,Valeo
TATA,2021,2021-04-04,QC-2021-4335,Vehicle not starting,"P5657, P0301, U0100",controller failure due to supplier production failure,According to Specification,STM
TATA,2022,2022-12-10,QC-2022-2491,OBD Light ON,"B1234, P1245, P6344",NTF,Customer Failure,Delphi
Ashok Leyland,2019,2019-09-07,QC-2019-9409,Starting Problem,"P6344, P0987, P0301",Track burnt due to EOS,Customer Failure,Bosch
Ashok Leyland,2023,2023-06-16,QC-2023-8604,OBD Light ON,"P6344, C0045",Sensor short due to moisture,Production Failure,Hanon
Kia,2021,2021-04-15,QC-2021-8536,OBD Light ON,P1245,ASIC CJ327 failure due to EOS,Production Failure,Valeo
M&M,2022,2022-01-17,QC-2022-4729,Rough idling,"P0455, P6344",NTF,According to Specification,Hanon
Kia,2022,2022-03-01,QC-2022-1697,OBD Light ON,"P6768, B1234, P5657",Connector damage,Customer Failure,Hanon
Ashok Leyland,2022,2022-10-12,QC-2022-8724,Engine overheating,"B1234, C0045, P0455",ASIC CJ327 failure due to EOS,Customer Failure,NA
Kia,2021,2021-01-05,QC-2021-2803,Engine overheating,"P0455, P6344",Sensor short due to moisture,According to Specification,Bosch
M&M,2019,2019-05-22,QC-2019-1682,Low pickup,"U0100, P5657",ASIC CJ327 failure due to EOS,Production Failure,Valeo
Kia,2024,2024-05-09,QC-2024-6732,Starting Problem,"B1234, P5657",Track burnt due to EOS,Production Failure,NA
